iter	RMSE
2145	0.09011754521
2146	0.09010240807
2147	0.09009265635
2148	0.09009228264
2149	0.0900758915
2150	0.09007000189
2151	0.0900692783
2152	0.09005273434
2153	0.09003831616
2154	0.09003509485
2155	0.09002608187
2156	0.09001100588
2157	0.0900037213
2158	0.089993619
2159	0.08998579812
2160	0.08997227225
2161	0.08996511402
2162	0.08995542663
2163	0.0899511405
2164	0.08994634783
2165	0.0899418982
2166	0.08992575858
2167	0.08992281659
2168	0.0899089911
2169	0.0899064842
2170	0.08990125307
2171	0.0898991022
2172	0.08989863249
2173	0.0898899603
2174	0.08987995544
2175	0.0898660814
2176	0.08986500174
2177	0.08985730921
2178	0.08985051182
2179	0.08983843258
2180	0.08983806392
2181	0.08982499328
2182	0.08982198586
2183	0.08981153289
2184	0.08980754431
2185	0.08980587332
2186	0.0897886677
2187	0.08978035507
2188	0.08977612368
2189	0.08976096922
2190	0.08975079232
2191	0.08974735818
2192	0.08973868279
2193	0.08973157025
2194	0.08972175917
2195	0.08970958137
2196	0.08969905616
2197	0.0896889277
2198	0.08967559863
2199	0.08967245609
2200	0.08965742887
2201	0.08965569007
2202	0.08965114548
2203	0.08964645114
2204	0.08963763665
2205	0.08962781182
2206	0.08961411177
2207	0.08961016033
2208	0.08960965436
2209	0.08959779782
2210	0.08959195553
2211	0.08958226563
2212	0.08957234876
2213	0.08956546522
2214	0.08955255702
2215	0.08954816954
2216	0.08953248406
2217	0.08953139349
2218	0.08953032344
2219	0.08952973679
2220	0.08952164868
2221	0.0895128158
2222	0.08950619306
2223	0.08948997242
2224	0.08948381858
2225	0.08948031321
2226	0.0894782042
2227	0.08946250686
2228	0.08945493445
2229	0.08945197497
2230	0.0894494175
2231	0.08943276486
2232	0.08943239029
2233	0.08942202737
2234	0.08941138337
2235	0.08940364387
2236	0.08938717891
2237	0.08938378434
2238	0.08937698239
2239	0.08937262968
2240	0.08936115926
2241	0.08934710441
2242	0.08933285849
2243	0.08932384541
2244	0.08932226097
2245	0.08930593067
2246	0.08929681651
2247	0.08928522093
2248	0.08928495013
2249	0.08927825697
2250	0.08926664436
2251	0.08926448099
2252	0.08925722642
2253	0.08925602221
2254	0.08925493274
2255	0.08924960395
2256	0.08924927932
2257	0.08924291817
2258	0.08923736443
2259	0.08922238241
2260	0.08920648764
2261	0.08919888835
2262	0.08919667126
2263	0.08919124098
2264	0.08917987155
2265	0.0891647099
2266	0.08916445294
2267	0.08915268149
2268	0.0891503833
2269	0.08913596934
2270	0.08913194082
2271	0.08912278558
2272	0.089106698
2273	0.08909616691
2274	0.08909150196
2275	0.08907632091
2276	0.08906771474
2277	0.08906181298
2278	0.08904978935
2279	0.0890441911
2280	0.08903480036
2281	0.0890175906
2282	0.08900505575
2283	0.08899048708
2284	0.08897859267
2285	0.08897412204
2286	0.0889652719
2287	0.08896362087
2288	0.08895301308
2289	0.08894180272
2290	0.08893927495
2291	0.08892601592
2292	0.08891280942
2293	0.08890880586
2294	0.08890859502
2295	0.08890284557
2296	0.08889527266
2297	0.08889250742
2298	0.08888505372
2299	0.08887663699
2300	0.08886595837
2301	0.08885471048
2302	0.08884619078
2303	0.08884209922
2304	0.08883602671
2305	0.0888283579
2306	0.08882300468
2307	0.08881065087
2308	0.08880860827
2309	0.08879760535
2310	0.08878859326
2311	0.08878050526
2312	0.08877893889
2313	0.08876763972
2314	0.0887595499
2315	0.08874843093
2316	0.08873864096
2317	0.0887232768
2318	0.08871776714
2319	0.08871397878
2320	0.08871370085
2321	0.08870172681
2322	0.08868417665
2323	0.08867759642
2324	0.08867285551
2325	0.08867093204
2326	0.08866526463
2327	0.08865394429
2328	0.08865314781
2329	0.08864436852
2330	0.08864371039
2331	0.08863514373
2332	0.08862952259
2333	0.0886283449
2334	0.08862180199
2335	0.08860831433
2336	0.08860126251
2337	0.08858665351
2338	0.08857866703
2339	0.08857202418
2340	0.08857147393
2341	0.08857084824
2342	0.08856217606
2343	0.0885568182
2344	0.08854656725
2345	0.08854005667
2346	0.0885323326
2347	0.08852439214
2348	0.08852212064
2349	0.08851446103
2350	0.08850424671
2351	0.08849910441
2352	0.08848813441
2353	0.08848098423
2354	0.0884771176
2355	0.08847696628
2356	0.08847650834
2357	0.088469398
2358	0.08846889367
2359	0.08845993186
2360	0.08844223758
2361	0.08843468494
2362	0.08842717161
2363	0.08841446599
2364	0.08840441291
2365	0.08839472793
2366	0.08838659379
2367	0.08837351487
2368	0.08836838009
2369	0.0883631094
2370	0.08835417381
2371	0.08834785364
2372	0.0883372319
2373	0.08832926165
2374	0.08832178872
2375	0.08831616144
2376	0.08831032733
2377	0.08830254144
2378	0.08829770651
2379	0.08828695415
2380	0.08827867457
2381	0.08826931428
2382	0.08826236886
2383	0.0882534127
2384	0.08824776436
2385	0.08824216127
2386	0.08823721097
2387	0.08821710781
2388	0.08820987153
2389	0.08819676037
2390	0.08818397971
2391	0.08817601774
2392	0.08817068775
2393	0.08816244554
2394	0.08815781247
2395	0.08814602912
2396	0.08813131881
2397	0.08812329549
2398	0.0881219983
2399	0.08811179214
2400	0.08809956071
2401	0.08809576596
2402	0.08808534571
2403	0.08807194591
2404	0.08806530288
2405	0.08805835823
2406	0.08804618717
2407	0.08803866726
2408	0.08802992623
2409	0.0880124731
2410	0.08799728229
2411	0.08799158482
2412	0.08798599648
2413	0.08798321508
2414	0.08797344973
2415	0.08796648623
2416	0.08796085307
2417	0.08795521391
2418	0.08795103497
2419	0.08794729379
2420	0.08793887107
2421	0.08792731392
2422	0.08791847083
2423	0.08791096326
2424	0.08790522021
2425	0.08790000987
2426	0.08789123931
2427	0.08787815049
2428	0.08786918476
2429	0.08786277557
2430	0.08785619384
2431	0.0878450457
2432	0.087843896
2433	0.08783365878
2434	0.08781465371
2435	0.0878094141
2436	0.08780410609
2437	0.08779694761
2438	0.08779431836
2439	0.08777856701
2440	0.08777086742
2441	0.08776016874
2442	0.08775882052
2443	0.08775344307
2444	0.08774089966
2445	0.08773232501
2446	0.08773219102
2447	0.08771520147
2448	0.08770548362
2449	0.08770535311
2450	0.08769427834
2451	0.0876872677
2452	0.08767364517
2453	0.08766373746
2454	0.08766360491
2455	0.08766305605
2456	0.08765259358
2457	0.08764969253
2458	0.08763761474
2459	0.08762530534
2460	0.08762121738
2461	0.08761897771
2462	0.08761390307
2463	0.0876056818
2464	0.0875890563
2465	0.08758344554
2466	0.08757751126
2467	0.08756847178
2468	0.08755931221
2469	0.08754795063
2470	0.08754395228
2471	0.08753286757
2472	0.08752770358
2473	0.08752387996
2474	0.08752086738
2475	0.08751340631
2476	0.08750928037
2477	0.08750025595
2478	0.08749307465
2479	0.08749212452
2480	0.087486247
2481	0.08747852528
2482	0.08747451396
2483	0.08747101541
2484	0.08746355751
2485	0.08745209505
2486	0.08745185313
2487	0.0874347463
2488	0.08742354793
2489	0.08741667022
2490	0.08741592278
2491	0.08740963742
2492	0.08740522154
2493	0.08739991491
2494	0.08739536237
2495	0.08738832047
2496	0.08737535576
2497	0.08736733931
2498	0.08735435266
2499	0.08734124552
2500	0.0873279287
2501	0.08732778736
2502	0.08732480325
2503	0.08731742487
2504	0.08730888806
2505	0.08730021647
2506	0.08729461566
2507	0.08729443518
2508	0.08728565317
2509	0.08728357833
2510	0.08727746086
2511	0.08726175386
2512	0.08725643267
2513	0.08725531667
2514	0.08725305933
2515	0.08724534578
2516	0.08723558586
2517	0.08722726785
2518	0.08721963596
2519	0.08720733046
2520	0.08720678971
2521	0.08719535583
2522	0.08718401406
2523	0.08717764564
2524	0.08717241001
2525	0.08716637885
2526	0.08716244928
2527	0.08715372853
2528	0.0871391441
2529	0.08712858523
2530	0.08712689972
2531	0.08712261003
2532	0.08712229418
2533	0.08710833822
2534	0.08710129752
2535	0.08710067189
2536	0.08709155423
2537	0.08707521013
2538	0.0870633701
2539	0.08706223538
2540	0.08705153248
2541	0.08704524336
2542	0.08703897806
2543	0.08702908846
2544	0.08701596489
2545	0.08700646955
2546	0.0869954983
2547	0.08698457362
2548	0.08697547778
2549	0.08695780026
2550	0.0869448746
2551	0.08693096475
2552	0.08692258977
2553	0.08692231274
2554	0.08691165488
2555	0.08691066692
2556	0.08689669751
2557	0.08688665538
2558	0.08687894697
2559	0.08687583054
2560	0.08687008041
2561	0.08686512497
2562	0.08686136763
2563	0.0868554355
2564	0.0868478843
2565	0.08684626145
2566	0.08683298718
2567	0.08682590704
2568	0.08681697834
2569	0.08680803898
2570	0.08680023027
2571	0.08679084109
2572	0.08678814135
2573	0.08677874761
2574	0.08676848419
2575	0.08676268861
2576	0.08675491356
2577	0.08675174557
2578	0.08674421888
2579	0.08674311561
2580	0.08673286083
2581	0.08672626926
2582	0.08672342447
2583	0.08671488502
2584	0.08670560095
2585	0.08670523779
2586	0.08669908188
2587	0.08669184619
2588	0.08668258515
2589	0.08668077464
2590	0.08668009305
2591	0.08667336593
2592	0.0866679588
2593	0.08666173148
2594	0.08665778749
2595	0.08664692493
2596	0.08664437865
2597	0.08663540952
2598	0.08662886652
2599	0.08662871344
2600	0.08661729458
2601	0.08661674153
2602	0.08660707624
2603	0.08659633974
2604	0.08659589434
2605	0.08658566534
2606	0.08658526658
2607	0.08657761147
2608	0.08657435773
2609	0.08656675801
